title,url
Jan 23 DP Part 2,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1599
Jan 23 DP Part 1,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1598
Jan 24 DP Part 6,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1615
Jan 24 DP Part 5,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1614
Jan 24 DP Part 4,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1613
Jan 24 DP Part 3,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1612
Jan 24 DP Part 2,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1611
Jan 24 DP Part 1,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1610
Jan 28 DP Part 5,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1733
Jan 28 DP Part 4,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1732
Jan 28 DP Part 3,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1731
Jan 28 DP Part 2,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1730
Jan 28 DP Part 1,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1729
Jan 30 DP Part 6,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1872
Jan 30 DP Part 5,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1871
Jan 30 DP Part 4,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1870
Jan 30 DP Part 3,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1869
Jan 30 DP Part 2,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1868
Jan 30 DP Part 1,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1867
Jan 31 DP Part 4,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1876
Jan 31 DP Part 3,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1875
Jan 31 DP Part 2,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1874
Jan 31 DP Part 1,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1873
Feb 04 DP-Buy & Sell stock,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1901
Feb 06 DP-Final,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1950
Feb 07 Stacks & Queues,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/1954
Feb 11 Stacks & Queues,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2200
Feb 11 Stacks & Queues - 1,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2070
Feb 18 Stacks & Queues - 2,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2201
Feb 20 OOPs,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2140
Feb 21 Stacks & Queues - 4,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2151
Feb 25 Stacks & Queues - Final,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2208
Feb 27 Linked List,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2229
Feb 28 Linked List - 2,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2243
Mar 04 Linked Lists - 3,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2274
Mar 06 Linked list Part 4,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2292
Mar 07 Generic Tree - 2,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2313
Mar 11 Generic Tree - 3,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2353
Mar 13 Generic Tree - 4,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2387
Mar 14 Generic Tree - Final,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2400
Mar 18 Binary Tree - Intro,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2432
Mar 20 Binary Tree - 1,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2449
Mar 21 Binary Tree - 2,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2472
Mar 25 BST,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2524
Mar 26 Graph - Intro,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2532
Mar 27 Graph - 1,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2541
Apr 01 Graph - 2,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2575
Apr 02 HashMap & Heap - Intro,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2582
Apr 03 HashMap & Heap - 1,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2593
Apr 04 HashMap & Heap : Creation,https://classroom.pepcoding.com/data-structures-and-algorithms-pitampura-dec-10-2020/80/classvideos/2619
